Group,GeneID,log2FC,padj,avg_group1,avg_group2,direction,specificity,CV,biomarker_score
Spleen,mmu-miR-150-5p,4.443,2.40942266408725e-12,553139,25437,UP in Spleen,4.544127565594583,0.18333740061358877,234.56405050508934
Spleen,mmu-miR-5104,4.216,2.81645213301561e-12,350,19,UP in Spleen,4.4339164237123425,0.3687549337030131,215.91423709780474
Spleen,mmu-miR-7649-3p,5.103,1.50773215804046e-09,71,2,UP in Spleen,4.534161490683229,0.3019918860965562,204.1144005047603
Spleen,mmu-miR-342-3p,3.006,2.55832969022555e-17,62937,7836,UP in Spleen,3.7100169135742203,0.3911957808429698,185.03962649684394
Spleen,mmu-miR-3969,4.509,4.3098796493089e-10,88,4,UP in Spleen,4.316546762589928,0.5291931135926874,182.28430217497242
Spleen,mmu-miR-6957-5p,4.804,1.98757103693304e-08,20,1,UP in Spleen,3.8610038610038613,0.07071067811865475,142.85273337284377
Spleen,mmu-miR-935,3.357,1.24293199339427e-11,74,7,UP in Spleen,3.7943085371942087,0.35224514044318006,138.90940860502548
Spleen,mmu-miR-3971,4.099,7.23352891258609e-09,50,3,UP in Spleen,3.971405877680699,0.0800201720105601,132.51995012431402
Spleen,mmu-miR-301b-3p,3.302,7.93244949354243e-12,573,58,UP in Spleen,3.3582532336537323,0.5192683403289889,123.09394141951253
Spleen,mmu-miR-211-3p,6.444,7.5663214852054e-05,18,0,UP in Spleen,4.175824175824176,0.6580544918817243,110.89513447088179
Spleen,mmu-miR-592-5p,4.097,1.21228030100942e-06,361,21,UP in Spleen,4.303455059633592,0.6389581610430324,104.31350558372922
Cells (4T1),mmu-miR-125b-1-3p,7.151,3.94458995162864e-41,379,53878,UP in Cells (4T1),5.1751529646812475,0.10671996870726651,1495.2517226483012
Cells (4T1),mmu-miR-1190,8.353,7.34842202294189e-10,0,65,UP in Cells (4T1),4.954268292682928,0.062283742131930775,377.9843178178818
Cells (4T1),mmu-miR-694,4.176,2.7049153986409e-19,8,146,UP in Cells (4T1),4.1465492757739275,0.16936337399035173,321.5206369240289
Cells (4T1),mmu-miR-1187,5.821,3.52440627911816e-11,2,110,UP in Cells (4T1),4.751619870410368,0.34980145673797075,289.1190231062248
Cells (4T1),mmu-miR-182-3p,5.856,2.34116186815233e-10,4,248,UP in Cells (4T1),4.873256042444488,0.31802904445707403,274.8351179035475
Cells (4T1),mmu-miR-181d-3p,3.977,2.00791587338318e-13,9,144,UP in Cells (4T1),4.072398190045249,0.28212922818241115,205.64381441305602
Cells (4T1),mmu-miR-466f-3p,4.461,6.59812873129956e-11,163,3590,UP in Cells (4T1),4.452878866810548,0.19108350859121853,202.23000462714782
Cells (4T1),mmu-miR-466m-3p,4.662,3.19348410932531e-10,10,268,UP in Cells (4T1),4.4883604086417686,0.2845623278348898,198.69575517148886
Cells (4T1),mmu-miR-669p-3p,4.54,1.67880642560664e-09,10,230,UP in Cells (4T1),4.423076923076923,0.35296312512674505,176.20873749373092
Cells (4T1),mmu-miR-669k-5p,5.702,1.1053330108102e-06,1,32,UP in Cells (4T1),4.3895747599451305,0.31508693783359504,149.08752642296005
Cells (4T1),mmu-miR-222-5p,3.762,2.33312054021699e-10,203,2763,UP in Cells (4T1),4.037230778222625,0.2475449450639258,146.2923691495863
Cells (4T1),mmu-miR-466i-3p,4.521,7.06846734097154e-08,19,447,UP in Cells (4T1),4.448203801373271,0.15493521810273655,143.8024244394379
Cells (4T1),mmu-miR-466e-5p,4.929,6.7436593337235e-07,9,282,UP in Cells (4T1),4.61311958122035,0.15804023696996614,140.31898118054576
Cells (4T1),mmu-miR-96-3p,5.312,3.35717733310087e-06,4,146,UP in Cells (4T1),4.627575277337559,0.5340896338321037,134.5607478128836
Cells (4T1),mmu-miR-183-3p,5.245,5.10603332789899e-06,33,1256,UP in Cells (4T1),4.76913730255164,0.022245551581418128,132.3726579925841
Cells (4T1),mmu-miR-297a-5p,4.556,7.87615165221972e-07,293,6903,UP in Cells (4T1),4.501878228204728,0.09609329715507585,125.18999945090789
Cells (4T1),mmu-miR-467b-3p,5.181,5.57670346167077e-07,1,20,UP in Cells (4T1),3.8167938931297707,0.3013897755877088,123.66419047532796
Cells (4T1),mmu-let-7a-2-3p,3.339,9.26054687857304e-11,18,178,UP in Cells (4T1),3.6497847037112976,0.31527516229071373,122.27289828467208
Cells (4T1),mmu-miR-466k,4.73,5.00847566356662e-06,18,493,UP in Cells (4T1),4.545454545454546,0.20508287266453043,113.95633029108308
Cells (4T1),mmu-miR-212-3p,2.993,1.46173113565818e-11,236,1876,UP in Cells (4T1),3.444856586727386,0.3709656236887423,111.71515436216768
