Group,Direction,miRNA,GeneID,log2FC,padj,biomarker_score,count_Cells (4T1),zscore_Cells (4T1),count_Heart,zscore_Heart,count_Kidney,zscore_Kidney,count_Liver,zscore_Liver,count_Lung,zscore_Lung,count_Spleen,zscore_Spleen
Spleen,Upregulated,miR-5107-5p,mmu-miR-5107-5p,6.285,3.21856153491811e-09,269.6976030296154,3,-0.5570362275291518,2,-0.7047727486587232,4,-0.44244287903613816,5,-0.3488132958712673,13,0.0863088415191879,544,1.966756309576093
Spleen,Upregulated,miR-150-5p,mmu-miR-150-5p,4.443,2.40942266408725e-12,234.56405050508934,85,-1.7858421800111133,49648,0.4011673556244752,11522,-0.10122722132349823,11823,-0.09235784170837032,42790,0.3500380378994475,549774,1.2282218495190598
Spleen,Downregulated,miR-23b-3p,mmu-miR-23b-3p,-1.848,1.62257079623708e-18,11.71550766816046,81921,-1.1812879207508604,283610,0.690133102175345,271007,0.6216330009603614,252277,0.5137081442151058,293810,0.7433793827012977,71441,-1.3875657093012455
Spleen,Downregulated,miR-27b-3p,mmu-miR-27b-3p,-1.284,1.56337569517073e-18,11.383851750639549,94173,-1.0712792499496033,209606,0.7388081695950477,181765,0.41639056966909915,201557,0.650220788610328,209500,0.7376637889316976,78893,-1.4718040668565802
Spleen,Downregulated,miR-30c-2-3p,mmu-miR-30c-2-3p,-2.975,1.061580903034e-21,11.09890255461879,642,-0.9685295351638133,2741,0.558355657277886,2614,0.5084278437292922,3637,0.8560333773192321,2841,0.5960677049604288,369,-1.550355048123031
Spleen,Downregulated,miR-30a-5p,mmu-miR-30a-5p,-3.342,1.58125640073946e-20,9.091106984024812,60127,-1.163973475724975,373129,0.3926119230793358,593500,0.7883661131087362,448455,0.549411871197034,611531,0.8138864259686683,46654,-1.3803028576287932
Spleen,Downregulated,miR-30a-3p,mmu-miR-30a-3p,-2.969,4.45891990207928e-16,8.401305586970334,4300,-0.9206813153142199,14457,0.3861942581158609,21106,0.794034227644837,16771,0.5462260367564479,20634,0.7696558139690828,2342,-1.5754290211720166
Spleen,Downregulated,miR-30c-5p,mmu-miR-30c-5p,-2.93,8.32442437752246e-10,4.946275354614245,50584,-1.5054412084875193,1000511,0.7747011941268311,1159424,0.8873192105165839,717801,0.5210083903509987,545465,0.31125898719752126,99469,-0.9888465737044149
Spleen,Downregulated,miR-30b-5p,mmu-miR-30b-5p,-2.274,3.65499708101974e-08,4.614945095021767,55106,-1.5043592196175053,734764,0.9757139797960493,459566,0.5264124813210223,384892,0.3566369988973566,514499,0.6345196103544636,94406,-0.9889238507513687
Spleen,Downregulated,miR-335-5p,mmu-miR-335-5p,-2.393,7.20542806092842e-08,4.3892187608749085,752,-1.7314881142882317,30182,0.8391066157354333,10779,0.1220458244867825,23571,0.6669294427868483,24611,0.6969985937902118,3857,-0.5935923625110443
Spleen,Downregulated,miR-99a-5p,mmu-miR-99a-5p,-1.913,2.5221989766044e-05,3.175770958154589,12406,-1.4746921290059187,156465,1.233451858800613,76056,0.462698262981947,51188,0.039624921215011606,86118,0.5954536103883514,22126,-0.8565365243800028
Spleen,Downregulated,let-7b-3p,mmu-let-7b-3p,-1.738,3.16409987328506e-06,3.1375789422492297,1094,0.3965960623563143,1311,0.7262562473478471,762,-0.26209516951915457,1441,0.8985241563760312,926,0.09290460743266515,318,-1.852185903993694
Cells (4T1),Upregulated,miR-125b-1-3p,mmu-miR-125b-1-3p,7.151,3.94458995162864e-41,1495.2517226483012,53878,1.9768515177928236,510,-0.19457851486001237,202,-0.6249200263603938,149,-0.7659662334691013,524,-0.18197884174830245,494,-0.2094079013550141
Cells (4T1),Upregulated,miR-1190,mmu-miR-1190,8.353,7.34842202294189e-10,377.9843178178818,65,2.041241452319315,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863
Cells (4T1),Upregulated,miR-694,mmu-miR-694,4.176,2.7049153986409e-19,321.5206369240289,146,1.9693684804874312,11,-0.13363198690544836,4,-0.8684522243101243,10,-0.20666454417263172,7,-0.47395706567398105,9,-0.28666265942524427
Cells (4T1),Upregulated,miR-1187,mmu-miR-1187,5.821,3.52440627911816e-11,289.1190231062248,110,1.9703393093428996,2,-0.3787431125746868,2,-0.3787431125746868,1,-0.6425184132600246,1,-0.6425184132600246,5,0.0721837423265233
Cells (4T1),Upregulated,miR-182-3p,mmu-miR-182-3p,5.856,2.34116186815233e-10,274.8351179035475,248,1.8391202791073278,0,-1.0041149949338437,4,-0.17474486167110456,3,-0.28973444620890804,11,0.27639874427790473,1,-0.6469247205713758
Cells (4T1),Upregulated,miR-181d-3p,mmu-miR-181d-3p,3.977,2.00791587338318e-13,205.64381441305602,144,1.8906612403451717,20,0.29744522591312644,5,-0.7355277304308399,6,-0.6084218951946317,10,-0.23573494543819384,6,-0.6084218951946317
